date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:14:30	252314/252314	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2002:33:14%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/shop/shop-layout-v1.html	D:/glowness/templates.g5plus.net/glowing-bootstrap-5/shop/shop-layout-v1.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
22:14:31	249666/249666	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2002:33:14%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/shop/shop-layout-v2.html	D:/glowness/templates.g5plus.net/glowing-bootstrap-5/shop/shop-layout-v2.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
22:14:32	241185/241185	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2002:33:14%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/shop/shop-layout-v3.html	D:/glowness/templates.g5plus.net/glowing-bootstrap-5/shop/shop-layout-v3.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
22:14:32	248460/248460	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2002:33:14%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/shop/shop-layout-v4.html	D:/glowness/templates.g5plus.net/glowing-bootstrap-5/shop/shop-layout-v4.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
22:14:32	225378/225378	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2002:33:14%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/shop/shop-layout-v5.html	D:/glowness/templates.g5plus.net/glowing-bootstrap-5/shop/shop-layout-v5.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
22:14:33	262905/262905	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2002:33:14%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/shop/product-details-v1.html	D:/glowness/templates.g5plus.net/glowing-bootstrap-5/shop/product-details-v1.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
22:14:33	265360/265360	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2002:33:14%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/shop/product-details-v2.html	D:/glowness/templates.g5plus.net/glowing-bootstrap-5/shop/product-details-v2.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
22:14:34	258217/258217	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2002:33:14%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/shop/product-details-v3.html	D:/glowness/templates.g5plus.net/glowing-bootstrap-5/shop/product-details-v3.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
22:14:34	256703/256703	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2002:33:14%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/shop/product-details-v4.html	D:/glowness/templates.g5plus.net/glowing-bootstrap-5/shop/product-details-v4.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
22:14:35	262544/262544	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2002:33:14%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/shop/product-details-v5.html	D:/glowness/templates.g5plus.net/glowing-bootstrap-5/shop/product-details-v5.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
